track_name,race_date,race_number,post_time,distance,surface,purse,race_type,total_entries,has_results
laurel-park,"Saturday, September 27, 2025",1,12:10 PM,5 1/2F,Turf,"24,000","5 1/2F,
Turf,
$12,500 Starter Optional ClaimingFillies & Mares | 3 Year Olds And UpPurse: $24,000",12,True
laurel-park,"Saturday, September 27, 2025",2,12:41 PM,1 1/16M,Dirt,"24,000","1 1/16M,
Dirt,
$16,000 Starter Optional ClaimingOpen | 3 Year Olds And UpPurse: $24,000",7,True
laurel-park,"Saturday, September 27, 2025",3,1:11 PM,1 m,Turf,"24,000","1 m,
Turf,
$16,000 Maiden ClaimingFillies & Mares | 3 To 6 Year OldsPurse: $24,000",10,True
laurel-park,"Saturday, September 27, 2025",4,1:41 PM,5 1/2F,Turf,"24,000","5 1/2F,
Turf,
$16,000 Maiden ClaimingOpen | 3 To 6 Year OldsPurse: $24,000",11,True
laurel-park,"Saturday, September 27, 2025",5,2:12 PM,1 m,Dirt,"22,000","1 m,
Dirt,
$12,500 ClaimingOpen | 3 Year Olds And UpPurse: $22,000",8,True
laurel-park,"Saturday, September 27, 2025",6,2:41 PM,5 1/2F,Turf,"24,000","5 1/2F,
Turf,
$16,000 Starter Optional ClaimingFillies & Mares | 3 Year Olds And UpPurse: $24,000",16,True
laurel-park,"Saturday, September 27, 2025",7,3:14 PM,5 1/2F,Turf,"53,000","5 1/2F,
Turf,
$40,000 Allowance Optional ClaimingFillies & Mares | 3 Year Olds And UpPurse: $53,000",15,True
laurel-park,"Saturday, September 27, 2025",8,3:46 PM,6 f,Dirt,"30,000","6 f,
Dirt,
$25,000 Maiden ClaimingOpen | 2 Year OldsPurse: $30,000",8,True
laurel-park,"Saturday, September 27, 2025",9,4:19 PM,1 1/16M,Turf,"125,000","1 1/16M,
Turf,
Laurel FuturityOpen | 2 Year OldsPurse: $125,000",11,True
laurel-park,"Saturday, September 27, 2025",10,4:50 PM,1 1/16M,Turf,"125,000","1 1/16M,
Turf,
Selima S.Fillies | 2 Year OldsPurse: $125,000",11,True
laurel-park,"Saturday, September 27, 2025",11,5:20 PM,6 f,Dirt,"22,000","6 f,
Dirt,
$12,500 Maiden ClaimingOpen | 3 To 6 Year OldsPurse: $22,000",10,True
