race_number,program_number,horse_name,latest_surface,latest_distance,latest_time
1,1,Kiss for Lulu,Turf-Firm,1 1/16M,1:43.91
1,2,Irish Element,Turf-Firm,1 1/16M,1:43.91
1,3,Star of Delhi,Turf-Firm,1 1/16M,1:43.91
1,4,Fleet Brotato,Dirt-Fast,1 m,1:35.94
1,5,Fight Back,Turf-Firm,1 1/16M,1:43.91
1,6,Mav Man,Turf-Firm,1 1/16M,1:43.91
1,7,Zagreus,Dirt-Fast,1 m,1:39.26
1,8,Foreroyal,Turf-Firm,5F,0:57.84
1,9,Crime Lord,Turf-Firm,5F,0:57.84
1,10,Benny's Puzzle,Turf-Firm,1 1/16M,1:43.91
1,11,Brahms Mendelssohn,Turf-Firm,1 1/16M,1:43.91
2,1,A Friend of Mine,Dirt-Fast,6 1/2F,1:15.70
2,2,Deep BlueEcho Town,,,
2,3,Joyful Mischief,Dirt-Fast,6 f,1:10.62
2,4,Gathered,Turf-Firm,1 m,1:37.21
2,5,Music LadyAlways Dreaming,,,
3,1,Ivory Moon,Dirt-Fast,1 m,1:38.21
3,2,Violet Storm,Dirt-Fast,1 m,1:38.21
3,3,Twilight Empire,Dirt-Fast,1 m,1:38.21
3,4,Ole Silver,Dirt-Fast,1 m,1:38.21
4,1,Ariri,,,
4,2,Chai,Dirt-Fast,1 1/16M,1:42.15
4,3,Princesa Moche,,,
4,4,Madonna of Loreto,Turf-Firm,1 1/16M,1:43.50
4,5,Sunglow,Turf,6 f,1:08.41
4,6,Dare to Fly,Dirt-Fast,6 1/2F,1:15.10
4,7,Yellow Sun Dress,Turf-Firm,1 m,1:35.47
4,8,The Wild Grazer,Turf,6 1/2 f,1:13.82
4,9,Invincible Molly,Turf,1 mile,1:35.87
4,10,Tight Squeeze,Turf-Firm,5F,0:57.45
5,1,Lil' Boom Boom,Dirt-Fast,6 f,1:11.34
5,2,Lena Lindgard,Dirt-Fast,6 1/2F,1:17.97
5,3,Empress of Grace,Dirt-Fast,6 1/2F,1:18.10
5,4,Misty Heart,Dirt-Fast,6 1/2F,1:17.43
5,5,Approval Rating,Dirt-Fast,6 f,1:10.10
5,6,Sei Bella,Dirt-Fast,6 f,1:10.10
5,7,Headstrong Ways,Dirt-Fast,6 f,1:10.61
5,8,Maximun Gold,Dirt-Fast,6 f,1:10.10
5,9,Kool Tap Dancer,Dirt-Fast,6 f,1:11.65
6,1,Debbies Gettinghot,Turf-Firm,5F,0:57.87
6,2,Mo Holland Drive,Turf-Firm,5F,0:57.67
6,3,Sagunto,Turf-Firm,1 m,1:36.64
6,4,Booked Clubhouse,Turf-Firm,5F,0:57.67
6,5,Dark BlueMaxfield,,,
6,6,Mystic Moses,Turf-Firm,5F,0:57.67
6,7,ScatalotadingdongSir Prancealot,,,
6,8,Eye of the Smiley,Turf-Firm,5F,0:57.87
6,9,Cal's GoalCairo Prince,,,
6,10,Senor Tequilas,Dirt-Fast,6 f,1:11.90
6,11,Another Bulleit,Dirt-Fast,5 1/2F,1:03.59
6,12,Throwthefirstpunch,Turf-Firm,5 f,0:57.67
7,1,Sugar Fish,Dirt-Fast,1 m,1:34.55
7,2,La Kika,,,
7,3,Cavalieri,Dirt-Fast,1 m,1:34.96
7,4,Howin,Dirt-Fast,1 m,1:36.99
7,5,Richi,Dirt,1 1/16 m,1:42.33
8,1,Waltz Across Texas,Turf-Firm,5 f,0:57.94
8,2,Hello Kid O Kid O,Turf-Firm,1 m,1:36.72
8,3,Princesa Del Tigre,Turf-Firm,1 m,1:36.59
8,4,Practical Dazzle,Turf-Firm,1 m,1:36.72
8,5,We the Hobby,Turf-Firm,1 m,1:36.23
8,6,Lady Mendelssohn,Dirt-Fast,1 m,1:38.25
8,7,Lavender Love,Turf-Firm,1 m,1:36.72
8,8,Miss Will,Turf-Firm,1 m,1:36.59
8,9,California Rocks,Turf-Firm,1 m,1:34.92
8,10,Quantum Innergy,Turf-Firm,1 m,1:36.59
8,11,Garden Party,Turf-Firm,1 m,1:36.72
8,12,True Patriot,Turf-Firm,1 m,1:36.72
8,13,Dontmesswithtess,Turf-Firm,1 m,1:36.59
8,14,Issa Court,Dirt-Fast,1 m,1:38.25
9,1,Dr. Venkman,Dirt-Fast,7 f,1:21.53
9,2,Straight No Chaser,,,
9,3,Awesome Rhythm,Dirt-Fast,6 f,1:08.85
9,4,Smooth Cruisein,Dirt-Fast,1 m,1:35.12
9,5,Speed Boat Beach,Dirt-Fast,7 f,1:21.53
9,6,Wound Up,Turf-Firm,5 f,0:55.90
9,7,Mbagnick,,,
9,8,Imagination,Dirt-Fast,1 1/8 m,1:51.36
10,1,Edge of Mali,Turf,1 1/8 m,1:48.45
10,2,Slick,Turf,1 1/8 m,1:48.45
10,3,Cat The Confidante,Turf,6 f,1:10.39
10,4,Take A Breath,Turf,1 1/8 m,1:48.45
10,5,Atia,Turf-Firm,1 3/8 m,2:16.29
10,6,Miss Artois,Turf-Firm,1 1/16M,1:43.30
10,7,Resolve,Turf-Firm,1 1/8 m,1:48.45
10,8,Ribbons,Turf-Firm,1 1/16M,1:43.50
10,9,Hey Jessie,Turf-Firm,1 1/16M,1:43.50
10,10,Lila,Turf-Firm,1 1/16M,1:43.50
10,11,Hey Lil Lady,Turf-Firm,1 m,1:35.47
10,12,Aleramo,Turf,1 mile,1:34.14
10,13,Delightful Laura,Turf-Firm,1 m,1:35.47
10,14,Precise Timing,Dirt-Fast,1 1/16M,1:45.80
